,hidro_level_m1,precip_acumu_sm,hidro_level_sm
2023-03-02 18:00:00,1.43,0.0,6.16
2023-03-02 21:00:00,2.08,0.52,6.1
2023-03-03 00:00:00,2.33,0.99,6.05
2023-03-03 03:00:00,1.56,1.81,6.03
2023-03-03 06:00:00,1.11,0.0,6.1
2023-03-03 09:00:00,1.79,0.0,6.4
2023-03-03 12:00:00,2.42,0.0,6.86
2023-03-03 15:00:00,1.87,0.0,7.15
2023-03-03 18:00:00,1.23,0.12,7.1
2023-03-03 21:00:00,1.78,0.47,7.02
2023-03-04 00:00:00,2.44,0.0,6.95
2023-03-04 03:00:00,1.86,0.0,6.93
2023-03-04 06:00:00,1.0,0.0,7.03
2023-03-04 09:00:00,1.5,0.0,7.12
2023-03-04 12:00:00,2.5,0.0,7.1
2023-03-04 15:00:00,2.19,0.0,7.02
2023-03-04 18:00:00,1.21,0.0,6.97
2023-03-04 21:00:00,1.51,0.0,6.92
2023-03-05 00:00:00,2.48,0.0,6.84
2023-03-05 03:00:00,2.18,0.0,6.82
2023-03-05 06:00:00,1.04,0.0,6.87
2023-03-05 09:00:00,1.22,0.0,6.99
2023-03-05 12:00:00,2.46,0.4,7.17
2023-03-05 15:00:00,2.49,0.0,7.21
2023-03-05 18:00:00,1.29,2.75,7.11
2023-03-05 21:00:00,1.22,0.11,6.92
2023-03-06 00:00:00,2.41,0.0,6.76
2023-03-06 03:00:00,2.53,0.0,6.65
2023-03-06 06:00:00,1.17,4.31,6.6
2023-03-06 09:00:00,0.95,10.66,6.72
2023-03-06 12:00:00,2.33,0.77,6.88
2023-03-06 15:00:00,2.73,0.0,6.95
2023-03-06 18:00:00,1.44,0.0,6.96
2023-03-06 21:00:00,0.98,0.0,7.08
2023-03-07 00:00:00,2.24,0.0,7.22
2023-03-07 03:00:00,2.72,2.74,7.27
2023-03-07 06:00:00,1.36,0.0,7.31
2023-03-07 09:00:00,0.75,0.0,7.33
2023-03-07 12:00:00,2.09,0.0,7.31
2023-03-07 15:00:00,2.89,0.43,7.33
2023-03-07 18:00:00,1.67,0.08,7.35
2023-03-07 21:00:00,0.8,0.0,7.41
2023-03-08 00:00:00,1.96,0.0,7.48
2023-03-08 03:00:00,2.87,0.0,7.56
2023-03-08 06:00:00,1.67,0.0,7.65
2023-03-08 09:00:00,0.67,0.13,7.76
2023-03-08 12:00:00,1.85,0.82,7.73
2023-03-08 15:00:00,3.04,0.2,7.57
2023-03-08 18:00:00,1.97,0.27,7.38
2023-03-08 21:00:00,0.72,2.57,7.18
2023-03-09 00:00:00,1.66,4.89,7.01
2023-03-09 03:00:00,2.96,0.65,7.04
2023-03-09 06:00:00,2.0,12.62,7.9
2023-03-09 09:00:00,0.67,4.03,8.5
2023-03-09 12:00:00,1.57,2.32,8.61
2023-03-09 15:00:00,3.12,0.0,8.67
2023-03-09 18:00:00,2.36,0.0,8.75
2023-03-09 21:00:00,0.79,0.0,8.74
2023-03-10 00:00:00,1.39,0.0,8.69
2023-03-10 03:00:00,2.92,0.0,8.63
2023-03-10 06:00:00,2.37,0.0,8.53
2023-03-10 09:00:00,0.85,0.0,8.36
2023-03-10 12:00:00,1.34,0.0,8.15
2023-03-10 15:00:00,2.99,3.05,8.0
2023-03-10 18:00:00,2.62,0.0,7.84
2023-03-10 21:00:00,0.91,0.0,7.68
2023-03-11 00:00:00,1.07,0.0,7.75
2023-03-11 03:00:00,2.69,0.07,7.76
2023-03-11 06:00:00,2.58,0.0,7.7
2023-03-11 09:00:00,1.03,0.0,7.78
2023-03-11 12:00:00,1.08,0.0,7.95
2023-03-11 15:00:00,2.71,7.07,7.98
2023-03-11 18:00:00,2.82,0.0,7.83
2023-03-11 21:00:00,1.16,0.0,7.64
2023-03-12 00:00:00,0.85,0.0,7.48
2023-03-12 03:00:00,2.35,0.0,7.39
2023-03-12 06:00:00,2.74,0.0,7.31
2023-03-12 09:00:00,1.32,0.0,7.22
2023-03-12 12:00:00,0.92,0.0,7.12
2023-03-12 15:00:00,2.36,0.0,7.03
2023-03-12 18:00:00,2.92,0.0,7.03
2023-03-12 21:00:00,1.5,0.0,6.96
2023-03-13 00:00:00,0.74,0.0,6.86
2023-03-13 03:00:00,1.95,0.0,6.82
2023-03-13 06:00:00,2.76,0.0,6.99
2023-03-13 09:00:00,1.67,0.0,7.3
2023-03-13 12:00:00,0.89,0.0,7.71
2023-03-13 15:00:00,2.09,0.0,7.79
2023-03-13 18:00:00,2.92,0.0,7.53
2023-03-13 21:00:00,2.08,0.0,7.2
2023-03-14 00:00:00,0.9,0.0,6.98
2023-03-14 03:00:00,1.46,0.0,6.89
2023-03-14 06:00:00,2.6,0.0,6.86
2023-03-14 09:00:00,2.18,1.46,7.16
2023-03-14 12:00:00,1.15,0.0,7.4
2023-03-14 15:00:00,1.57,0.0,7.37
2023-03-14 18:00:00,2.69,0.0,7.34
2023-03-14 21:00:00,2.41,0.0,7.37
2023-03-15 00:00:00,1.2,4.55,7.51
2023-03-15 03:00:00,1.23,0.63,7.71
2023-03-15 06:00:00,2.4,0.0,7.74
2023-03-15 09:00:00,2.46,0.0,7.66
2023-03-15 12:00:00,1.51,0.0,7.52
2023-03-15 15:00:00,1.36,0.0,7.3
2023-03-15 18:00:00,2.32,0.0,7.1
2023-03-15 21:00:00,2.63,0.0,6.99
2023-03-16 00:00:00,1.63,0.0,6.89
2023-03-16 03:00:00,1.09,0.0,6.9
2023-03-16 06:00:00,1.9,0.0,6.87
2023-03-16 09:00:00,2.59,1.08,6.78
2023-03-16 12:00:00,1.92,0.0,6.7
2023-03-16 15:00:00,1.3,0.0,6.68
2023-03-16 18:00:00,1.91,0.0,6.76
2023-03-16 21:00:00,2.68,0.0,6.66
2023-03-17 00:00:00,2.13,0.0,6.6
2023-03-17 03:00:00,1.17,0.0,6.58
2023-03-17 06:00:00,1.47,0.0,6.67
2023-03-17 09:00:00,2.52,0.15,6.92
2023-03-17 12:00:00,2.42,0.25,7.16
2023-03-17 15:00:00,1.48,0.0,7.01
2023-03-17 18:00:00,1.51,0.0,6.75
2023-03-17 21:00:00,2.51,0.0,6.6
2023-03-18 00:00:00,2.59,4.14,6.55
2023-03-18 03:00:00,1.45,3.67,6.46
2023-03-18 06:00:00,1.09,0.0,6.42
2023-03-18 09:00:00,2.23,0.0,6.69
2023-03-18 12:00:00,2.82,0.0,7.49
2023-03-18 15:00:00,1.87,0.0,8.16
2023-03-18 18:00:00,1.2,0.0,8.5
2023-03-18 21:00:00,2.11,0.0,8.67
2023-03-19 00:00:00,2.92,0.0,8.6
2023-03-19 03:00:00,1.95,0.0,8.12
2023-03-19 06:00:00,0.87,0.0,7.59
2023-03-19 09:00:00,1.75,0.0,7.29
2023-03-19 12:00:00,3.03,0.0,7.15
2023-03-19 15:00:00,2.35,0.0,7.05
2023-03-19 18:00:00,0.98,0.0,6.93
2023-03-19 21:00:00,1.53,0.0,6.86
2023-03-20 00:00:00,3.0,0.0,6.85
2023-03-20 03:00:00,2.47,0.0,6.83
2023-03-20 06:00:00,0.82,0.0,6.76
2023-03-20 09:00:00,1.13,0.0,6.68
2023-03-20 12:00:00,2.98,0.0,6.61
2023-03-20 15:00:00,2.95,0.0,6.56
2023-03-20 18:00:00,1.13,0.0,6.48
2023-03-20 21:00:00,0.96,0.0,6.42
2023-03-21 00:00:00,2.79,0.0,6.38
2023-03-21 03:00:00,3.05,0.0,6.35
2023-03-21 06:00:00,1.12,0.77,6.29
2023-03-21 09:00:00,0.63,2.73,6.27
2023-03-21 12:00:00,2.67,0.0,6.24
2023-03-21 15:00:00,3.43,0.0,6.21
2023-03-21 18:00:00,1.54,0.0,6.16
2023-03-21 21:00:00,0.55,0.0,6.22
2023-03-22 00:00:00,2.34,7.8,6.2
